feature,shap_importance
is_new_receiver,2.0108855
amount_raw,1.9780284
receiver_tx_count,1.272451
time_since_last_tx,1.2060695
amount_log,1.0108708
amount_2x_avg,0.51116365
hour_cos,0.3934657
amount_small,0.32838607
tx_amount_1h,0.27502388
amount_deviation,0.26164994
hour,0.21592258
user_avg_amount,0.203541
user_std_amount,0.19102274
user_total_amount,0.17460302
tx_amount_1h_log,0.14279899
is_night,0.1389759
tx_amount_24h,0.090062715
hour_sin,0.07896161
device_or_location_changed,0.078600615
tx_count_1h,0.0643311
user_tx_number,0.05741225
amount_3x_avg,0.051042553
is_business_hours,0.049600944
day_of_week,0.047965806
avg_tx_amount_24h,0.04533514
day_sin,0.032526642
tx_amount_24h_log,0.028520688
amount_medium,0.02147294
day_cos,0.015541475
tx_count_24h,0.015451361
is_weekend,0.012762908
new_receiver_large_amount,0.011634516
is_early_morning,0.010988652
amount_very_large,0.00905517
amount_large,0.0076126936
device_changed_flag,0.004277829
location_changed_flag,0.0012867502
device_and_location_changed,0.0010936783
amount_very_small,0.00046763202
night_device_change,0.00033713467
high_velocity_large_amount,3.662755e-05
high_amount_at_night,0.0
device_changed_unusual_amount,0.0
